epoch,split,loss,mIoU,mDice,MASD,NSD,lr,epoch_secs
1,train,0.5884967810577817,,,,,0.0001,46.08599019050598
1,val,0.45562891698720165,0.7392093987314852,0.8344329864411921,7.583269117056409,0.6130614895645647,0.0001,61.95216512680054
2,train,0.36852969505168776,,,,,9.996145181203615e-05,42.268343925476074
2,val,0.3758128657675626,0.7449978071076053,0.8379840479864107,6.77545998224933,0.6349136610007089,9.996145181203615e-05,56.28874588012695
3,train,0.29354085051824175,,,,,9.98458666866564e-05,43.201618671417236
3,val,0.32430412230784433,0.7529450757103366,0.8431484549195616,6.56973523710605,0.6512463728520999,9.98458666866564e-05,57.02653360366821
4,train,0.22829158627797688,,,,,9.965342284774632e-05,43.07648539543152
4,val,0.2886120246690616,0.7775232027043829,0.8641292148536736,6.076738307357867,0.6788787709924281,9.965342284774632e-05,56.73547625541687
5,train,0.1911276736193233,,,,,9.938441702975689e-05,43.3414363861084
5,val,0.26224006696751245,0.7668658653339306,0.8537850125686272,6.01012303001076,0.68106046218488,9.938441702975689e-05,57.285385847091675
6,train,0.16429309960868624,,,,,9.903926402016153e-05,43.074989795684814
6,val,0.25994106839623365,0.784859128765293,0.8698387954618547,5.212772183150664,0.6926142011411557,9.903926402016153e-05,57.21596097946167
7,train,0.1400189688675618,,,,,9.861849601988383e-05,42.38704705238342
7,val,0.22108694097974843,0.7986766179124792,0.8779750718520238,5.356194830867484,0.7251952957346467,9.861849601988383e-05,56.36083364486694
8,train,0.1252359756953502,,,,,9.812276182268236e-05,42.75752878189087
8,val,0.23177433453108134,0.797481949721183,0.8775041964087453,5.262968046721348,0.7292146249551349,9.812276182268236e-05,56.634807109832764
9,train,0.11296415620695346,,,,,9.755282581475769e-05,43.47035264968872
9,val,0.21482131844549848,0.7876900617892926,0.8704883060255251,5.48999183839821,0.7202265163600008,9.755282581475769e-05,57.22731876373291
10,train,0.1003671728232235,,,,,9.690956679612421e-05,42.894407987594604
10,val,0.19654098683804797,0.8112748717511451,0.8878378557575333,4.649378638933203,0.7406190468323184,9.690956679612421e-05,57.0246696472168
11,train,0.09415992353328322,,,,,9.619397662556433e-05,42.45716190338135
11,val,0.2172676149951784,0.7736184669958128,0.861262726825434,5.935559657241594,0.7044632661227518,9.619397662556433e-05,56.352763175964355
12,train,0.08643096303025251,,,,,9.540715869125406e-05,42.87317156791687
12,val,0.2085312807769106,0.7989798090257845,0.8793958235870708,5.218134237850029,0.7366987575631002,9.540715869125406e-05,56.65893769264221
13,train,0.07616813313314523,,,,,9.455032620941839e-05,43.320786476135254
13,val,0.21476423515562426,0.7980997777068531,0.8779933298384393,5.027960313567985,0.7341402031798963,9.455032620941839e-05,56.83628249168396
14,train,0.07331844267469866,,,,,9.362480035363986e-05,42.85807967185974
14,val,0.2127517649217656,0.7955048886629251,0.8757508222039763,5.960145208428572,0.7348545623555887,9.362480035363986e-05,56.92820501327515
15,train,0.07317935939503725,,,,,9.263200821770461e-05,42.14261865615845
15,val,0.19419030107949908,0.8114522872688054,0.8861204731714475,4.862578644184406,0.748676053549582,9.263200821770461e-05,55.967912435531616
16,train,0.06746295792242837,,,,,9.157348061512727e-05,42.847227334976196
